VarName;Variance;Standard Deviation;Mean;Median;Min;Max;Skewness;Kurtosis;Mode;1st quantile;3rd quantile;NA
DIV.EFETIVO;0.031;0.18;0.48;0.52;0.00;0.87;-0.77;-0.12;0.00;0.37;0.60;0
DIV.VL.PRODANI;0.033;0.18;0.26;0.26;0.00;0.88;0.27;-0.86;0.00;0.095;0.40;0
DIV.COLHI.T;0.013;0.11;0.28;0.30;0.00;0.63;-0.65;0.072;0.00;0.22;0.36;0
DIV.COLHI.P;0.025;0.16;0.20;0.19;0.00;0.72;0.34;-0.86;0.00;0.038;0.32;0
DIV.VL.T;0.015;0.12;0.27;0.29;0.00;0.64;-0.38;-0.40;0.00;0.19;0.36;0
DIV.VL.P;0.025;0.16;0.20;0.19;0.00;0.72;0.31;-0.80;0.00;0.047;0.32;0
DIV.PLANT.T;0.0054;0.074;0.32;0.33;0.00;0.51;-1.70;5.01;0.00;0.29;0.37;0
DIV.PLANT.P;0.025;0.16;0.20;0.19;0.00;0.72;0.34;-0.86;0.00;0.038;0.32;0
DIV.AQU.VL;0.0072;0.085;0.026;0.00;0.00;0.66;3.53;12.55;0.00;0.00;0.00;0
DIV.EXTV.VL;0.01;0.10;0.088;0.041;0.00;0.49;0.79;-0.58;0.00;0.00;0.17;0
DIV.SILV.VL;0.019;0.14;0.084;0.00;0.00;0.75;1.37;0.49;0.00;0.00;0.18;0
